facility_id,wellapath_name,city_area,hfr_name,phone,email,hfr_facility_code
ng_lag_2229,Villas Nursing Home,Alimosho,Villas Nursing Home,8029915892,N/A,24/03/1/1/2/0002
ng_lag_2274,Zion Uque Hospital,Alimosho,Zion Uque Hospital,8033765204,ZIONQUE@YAHOO.COM,24/03/1/2/2/0007
ng_lag_1279,Leeway Nursing Home,Alimosho,Leeway Nursing Home,8023211358,N/A,24/03/1/1/2/0018
ng_lag_2564,Ogundimu Primary Health Care Centre,Alimosho,Ogundimu Primary Healthcare Centre,8141665471,N/A,24/03/1/1/1/0013
ng_lag_794,First Uturn Hospital,Alimosho,First U Turn Hospital,9043345125,firstuturnhospital1@gmail.com,24/03/1/1/2/0026
ng_lag_1379,Mec Health Family Hospital,Alimosho,Mec Health Family Hospital,8036660448,MECHEALTHFAMILYHOSPITAL@GMAIL.COM,24/03/1/2/2/0030
ng_lag_817,Fuller Health Hospital,Alimosho,Fuller Health Hospital,8150741167,FULLERHEALTTHHOSPITAL@HOTMAIL.COM,24/03/1/2/2/0039
ng_lag_045,Adebek Maternity Home,Alimosho,Adebek Maternity Home,8060835555,N/A,24/03/1/1/2/0057
ng_lag_1358,Mary The Queen Hospital,Alimosho,Mary The Queen Hospital,8163964672,MARYTHEQUEENHOSPITAL2008@YAHOO.COM,24/03/1/1/2/0064
ng_lag_263,Armstrong Hospital,Alimosho,Armstrong Hospital,8053134810,ARMSTRONGHOSPITAL@YAHOO.COM,24/03/1/2/2/0077
ng_lag_1586,Okiki Hospital,Alimosho,Okiki Hospital,8033030368,BISDUCK@58YAHOO.COM,24/03/1/1/2/0083
ng_lag_2318,Ayobo Primary Health Care Centre,Alimosho,Ayobo Primary Healthcare Centre,8074568456,N/A,24/03/1/1/1/0087
ng_lag_323,Banke Hospital,Alimosho,Banke Hospital,8029794506,bankahospital@gmail.com,24/03/1/1/2/0095
ng_lag_2685,Victory Success Maternity Home,Alimosho,Victory Success Maternity Home,8029318672,ALALADEJO@GMAIL.COM,24/03/1/1/2/0092
ng_lag_1014,Iconic Care Hospital,Alimosho,Iconic Care Hospital,7032603830,INFO@ICONICCAREHOSPITAL.COM,24/03/1/2/2/0121
ng_lag_2485,Isuti Medical Centre,Alimosho,Isuti Medical Centre,8165474936,N/A,24/03/1/1/2/0118
